M49,Name,Type
142,Asia,
53,Australia and New Zealand,
29,Caribbean,
135,Caucasus and Central Asia,
13,Central America,
143,Central Asia,
62,Central Asia and Southern Asia (SDG),
514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",
14,Eastern Africa,
753,Eastern and South-Eastern Asia,
30,Eastern Asia,
518,Eastern Asia (excluding Japan),
151,Eastern Europe,
150,Europe,
432,Landlocked developing countries (LLDCs),
419,Latin America and the Caribbean,
199,Least Developed Countries (LDCs),
54,Melanesia,
57,Micronesia,
17,Middle Africa,
15,Northern Africa,
746,Northern Africa (exc. Sudan),
747,Northern Africa and Western Asia,
21,Northern America,
513,Northern America and Europe,
154,Northern Europe,
9,Oceania,
543,Oceania (exc. Australia and New Zealand),
61,Polynesia,
722,Small island developing States (SIDS),
5,South America,
35,South-eastern Asia,
18,Southern Africa,
34,Southern Asia,
39,Southern Europe,
202,Sub-Saharan Africa,
738,Sub-Saharan Africa (inc. Sudan),
11,Western Africa,
145,Western Asia,
485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",
155,Western Europe,
1,World,
